No,Kecamatan,Longsor,Gempa,Longitude,Latitude
1,Jatiluhur,16,0,107.4115,-6.5272
2,Sukasari,8,0,107.2941,-6.5389
3,Maniis,8,1,107.3168,-6.6993
4,Tegalwaru,10,0,107.3568,-6.6717
5,Plered,5,0,107.3906,-6.6415
6,Sukatani,14,5,107.4203,-6.6166
7,Darangdan,10,2,107.4372,-6.6924
8,Bojong,9,10,107.5017,-6.7098
9,Wanayasa,14,0,107.5445,-6.6787
10,Kiarapedes,2,0,107.5862,-6.6751
11,Pasawahan,21,1,107.4677,-6.5866
12,Pondoksalam,10,1,107.4814,-6.6135
13,Purwakarta,7,0,107.4463,-6.5407
14,Babakancikao,0,0,107.4025,-6.4934
15,Campaka,2,0,107.4804,-6.5115
16,Cibatu,1,0,107.5508,-6.5027
17,Bungursari,2,0,107.4787,-6.4857
